make;model;body;transmission;color;condition;odometer;price
4;107;2;1;2;4.2;22420;12000
26;118;2;1;3;3.9;12379;59750
22;98;6;1;2;4.4;38019;27100
4;5;2;1;13;3.7;26221;15500
22;86;2;1;5;3.4;37724;13400
23;87;2;1;2;3.5;19377;12400
4;109;17;1;1;1.9;20893;9000
24;119;1;1;13;3.5;60564;14000
22;98;6;1;2;3.7;40250;11600
4;107;2;1;1;2.7;29258;10500
23;116;5;1;1;3.6;38288;17100
22;177;2;1;3;1;24369;13100
23;108;6;1;1;4.3;68829;14600
23;116;5;1;1;4;38759;17500
23;120;1;1;1;3;39900;28000
4;5;2;1;1;4.2;20906;17750
4;29;2;1;2;4.2;15343;11000
23;99;2;1;5;1;34549;15500
4;5;2;1;13;4.4;26165;17250
22;95;2;1;3;3.8;39931;11700
4;5;2;1;5;4.3;16417;16250
22;86;2;1;2;2.6;35303;13300
22;86;2;1;13;1;24954;11100
23;94;14;1;1;4.1;39631;27000
4;106;1;1;1;5;4423;18000
24;96;2;2;8;3.5;22006;29000
4;111;5;1;5;4;36297;12300
23;89;11;1;12;3.4;63250;16600
4;104;2;1;2;1;1;1000
23;93;2;1;7;4.4;13948;14900
4;29;2;2;2;4.3;18366;9500
4;29;2;1;2;2;41426;4000
26;118;2;1;1;4.1;33876;58000
4;107;2;1;1;2.9;33219;10300
23;93;2;1;3;3.8;30392;15700
25;100;4;2;2;4.4;13325;18700
4;107;2;1;3;3.6;36247;11400
4;5;2;1;1;4.1;26640;15250
22;86;2;1;2;3.2;14779;20200
4;107;2;1;1;3.9;39904;10600
4;121;1;1;2;3;41841;16700
4;107;2;1;2;3.9;50045;10600
4;121;1;1;1;3.9;35138;20500
26;110;3;1;3;3.7;21938;39500
23;93;2;1;2;4.4;56455;17750
23;91;6;1;5;1;32808;7300
23;87;2;1;2;3.2;48376;11500
23;87;2;1;1;3.3;41961;11500
4;107;2;1;5;3.9;43769;10900
23;94;14;1;5;4.3;36744;26750
4;29;2;1;2;4.2;29165;10200
23;108;6;1;3;3.6;39968;15800
23;94;14;1;6;3.4;11094;21000
23;89;11;1;1;3.5;40052;20400
22;98;6;1;1;3.4;37618;11900
23;87;2;1;5;2;35516;8200
4;107;2;1;3;3.3;42704;10700
4;102;1;1;1;3.7;34651;14900
3;3;2;1;1;3.7;27368;19000
4;29;2;1;5;3.7;24984;9200
4;121;1;1;1;3.8;23629;18900
4;117;1;1;1;4.5;19742;22500
22;86;2;1;5;3.6;39556;12000
4;121;1;1;2;4.4;14805;25250
23;93;2;1;5;2;31300;11200
4;104;2;1;1;4.4;14421;20000
2;14;3;1;1;3.8;28925;50500
9;122;2;1;3;3.9;43127;17800
6;10;2;1;13;3.5;36541;29000
2;14;4;1;3;4.7;34941;42500
2;16;2;1;3;4.7;45443;30500
2;14;3;1;2;4.8;20904;49000
2;16;2;1;3;5;54744;29250
2;14;4;1;1;3.6;24452;44000
2;123;2;1;3;4.7;17189;25000
2;123;2;1;3;4.3;35818;35250
2;2;3;1;3;3.8;14149;40500
2;2;3;1;8;3.1;27675;25750
2;14;3;1;3;3.6;24132;49500
2;124;4;1;8;4.1;16288;27500
2;14;4;1;3;4.4;39628;42000
9;165;2;1;2;4.1;28395;20200
2;16;2;1;2;2.2;28170;47000
2;123;2;1;2;3.3;14769;34750
2;14;3;1;3;4.2;34780;47000
2;2;3;1;8;3.7;35711;25500
9;165;2;1;3;4.4;19669;21600
2;16;2;1;2;4.8;19782;31000
2;123;2;1;1;3.6;32509;40000
2;16;2;1;3;2.1;29808;26500
6;177;2;1;3;2.8;13044;35250
6;165;2;1;3;3.3;36671;40500
2;2;4;1;2;4.5;37632;32000
2;16;2;1;2;4.8;27979;34750
2;16;2;1;3;4.3;22371;34750
2;16;2;1;1;4.1;32960;29250
2;14;3;1;1;4.1;46534;41500
2;2;2;1;6;4.5;29157;24750
2;16;2;1;8;4.4;24506;33000
6;177;4;1;1;3.8;32737;26500
2;16;2;1;2;4.2;43112;29000
2;16;2;1;1;4.4;53230;25750
9;165;2;1;5;3.7;21443;20900
2;16;2;1;3;4.3;27181;34750
2;2;4;1;2;4.5;23777;33250
2;16;2;1;2;2.7;33760;32750
2;124;3;1;8;4.4;28509;22750
9;122;2;1;1;3.7;31595;18900
2;2;3;1;2;4.8;14910;31500
2;2;3;1;2;4.2;31388;27500
9;122;2;1;4;4.5;37284;18400
2;2;3;1;8;3.6;32456;26750
2;2;3;1;5;3.5;35000;27500
2;2;3;1;3;4.3;37509;31500
2;14;3;1;1;3.8;22845;52500
2;123;2;1;3;3.9;24576;40500
9;165;2;1;3;4.2;32354;20300
2;14;3;1;3;4.1;51983;40000
9;122;2;1;2;4.2;36621;18200
2;124;4;2;8;2.9;37168;18000
2;123;2;1;1;3.6;18602;42000
2;623;3;1;3;3.5;25240;42500
2;2;2;1;2;4.4;19411;27250
2;16;2;1;3;4.7;38066;42500
2;14;3;1;2;4;28606;49500
2;2;4;1;3;4.7;26086;22750
2;14;3;1;2;4.8;43505;44500
2;14;3;1;2;3.3;32289;48000
2;14;3;1;1;4.4;53404;43500
2;14;3;1;1;4.5;21262;52250
2;124;3;1;3;3.5;24380;35500
18;69;6;2;2;4.2;51347;13750
6;177;4;1;1;4.1;33856;27000
2;16;2;1;2;3.4;31616;28000
2;16;2;1;3;4.2;30445;28500
2;623;3;1;13;4.7;20850;43500
2;123;2;1;1;4.6;46943;33000
2;2;4;2;2;4.2;27312;33000
2;2;3;1;2;4.9;33355;27500
2;16;2;1;1;4.3;34966;32500
2;2;2;1;3;4.1;36617;23500
2;14;3;1;1;4.4;25060;51500
2;124;3;1;1;4.6;15311;25000
2;2;4;2;3;4.7;16827;34750
2;14;3;1;2;4.9;11868;47000
2;14;3;1;3;3.6;35458;44250
2;623;3;1;5;4.2;35920;41000
2;123;2;1;3;4.4;30313;40000
9;122;2;1;3;3.9;43807;17900
9;165;2;1;3;4.7;50229;20500
2;16;2;1;2;3.9;38866;34000
2;2;4;1;3;2.8;20163;20000
9;125;1;1;1;3.7;30901;22500
9;122;2;1;3;4.2;13424;19600
2;16;2;1;2;3.8;52387;32500
2;2;4;1;1;2.7;18057;22250
2;2;3;1;3;2.8;13661;28250
9;165;2;1;2;2.4;35604;16800
2;2;3;1;2;4.9;27272;31750
2;14;3;1;5;4.9;26704;49250
2;16;2;1;1;4.6;41539;36750
9;125;6;1;3;3.6;33680;26600
2;2;3;1;3;2.9;37032;25000
2;2;2;1;1;4.8;23936;28000
6;8;2;1;3;3.8;15193;24250
2;124;3;1;8;4.3;33965;22750
9;122;2;1;2;4.1;30406;19100
2;16;2;1;1;4.4;54898;31000
2;16;2;1;2;3.5;62345;24750
2;2;3;1;3;3.6;48143;33000
2;16;2;1;1;3.8;35294;28000
2;14;3;1;3;3.4;44520;40500
2;16;2;1;1;3.8;59814;28000
2;14;3;1;3;3.4;26807;47000
6;10;2;1;3;3.6;13936;33100
2;14;3;1;8;3.7;45540;40750
9;165;2;1;3;3.4;28151;21000
2;2;3;1;1;4.3;29297;30000
2;2;4;1;1;2.9;61573;19000
2;14;4;1;2;4.2;32341;43500
2;123;2;1;8;4.1;17676;36500
9;122;2;1;2;1.9;27906;14000
9;122;2;1;1;3.3;10225;19400
6;165;4;1;2;3.9;11740;91000
2;2;2;1;1;4.7;44099;23250
2;2;4;1;3;4;36013;21000
9;122;2;1;1;4.5;23568;19100
2;2;4;1;1;4.4;47581;21250
2;123;2;1;3;4.6;46766;33750
2;16;2;1;1;4.2;50727;26750
6;10;2;1;3;4.2;44002;30000
2;2;2;1;2;2.8;54355;22000
2;14;3;1;3;3.4;44067;42250
2;2;3;1;8;4.3;26425;29000
9;37;1;1;6;4.7;36533;30750
2;179;1;1;3;3.7;37120;27500
2;14;3;1;1;3.7;23496;51250
9;122;2;1;3;2.7;33771;16200
2;16;2;1;3;4.4;43260;27750
2;123;2;1;2;3.8;38006;37500
18;69;6;1;4;3.8;21924;12600
2;14;3;1;1;4.3;30156;48500
2;2;3;1;8;4.7;17453;31250
2;14;3;1;1;3.9;26391;51500
2;124;3;1;3;4.7;30653;22000
2;179;1;1;2;4.2;42148;29000
9;165;2;1;3;3.7;57367;18000
6;20;4;1;3;3.7;22938;36500
6;13;1;1;3;4.1;38750;31250
9;37;1;1;1;4.1;37587;31000
2;123;2;1;3;4.3;47390;34250
2;16;2;1;2;4;43662;36500
6;10;2;1;1;4.1;47513;28750
2;123;2;1;3;4.5;29460;40500
2;16;2;1;3;4.4;37915;34000
9;122;2;1;3;4.6;91532;15000
2;2;4;1;1;3.9;38166;22750
6;8;2;1;8;3.8;39272;20250
2;2;2;1;1;4.1;30875;41000
2;2;3;1;2;2.7;26285;26500
2;14;3;1;2;2.8;36051;42900
9;125;6;1;3;3.7;48115;28000
6;8;2;1;8;3.8;48158;19500
2;14;3;1;1;4.2;37688;45500
2;2;3;1;1;4.7;35006;27300
2;16;2;1;8;4.6;35638;31500
2;16;2;1;2;3.3;26936;34500
2;14;4;1;1;4.1;50362;42000
9;37;1;1;2;3.6;34643;27000
2;16;2;1;3;2.8;36773;32500
2;14;3;1;5;4.8;25070;50000
27;126;2;1;2;3.5;65600;8300
7;127;1;1;2;3.5;45035;14100
27;126;2;1;3;3.5;38669;9400
7;128;1;1;2;4.6;20035;20800
2;40;1;1;3;3.8;39302;39750
8;39;1;1;3;3.5;64568;15750
5;38;7;1;5;2.8;32104;23000
7;128;1;1;1;4.6;41115;22100
7;129;6;1;4;3;26747;14000
2;180;3;1;3;4.5;19767;32000
2;40;1;1;3;3.6;38715;34000
5;7;2;1;1;3.9;69407;9000
5;130;1;1;1;4;41873;18200
5;27;2;1;3;2.9;67196;9300
7;129;6;1;3;3.9;29499;14900
7;129;2;1;4;3;64750;8500
5;131;7;1;1;2.9;38079;24750
7;132;7;1;2;4.2;31076;44750
12;34;1;1;5;3.7;21147;24500
7;133;6;1;1;2.5;38159;5500
5;7;2;1;1;2.7;60360;8800
28;500;6;2;3;2.8;37547;8000
2;40;1;1;3;3.3;56780;30000
29;200;2;1;3;2.1;55277;6900
7;129;6;1;1;3.9;68306;8200
7;133;6;2;4;3.7;36404;8200
7;128;1;1;12;4.8;27952;20000
7;128;1;1;8;4.1;31495;18300
7;127;1;1;8;4.5;84062;9900
27;134;1;1;5;1.9;46816;14400
7;128;1;1;5;4.5;67529;10800
7;129;2;1;4;3.7;89575;9000
2;180;3;1;3;3.7;41179;27500
27;135;2;1;3;3.7;27842;34750
7;136;5;1;2;3.6;34682;18100
7;136;5;1;3;3.9;44712;24800
2;40;1;1;2;4.3;37269;36500
5;7;2;2;5;3.1;53563;7500
2;40;1;1;2;3.8;24720;42500
5;9;3;1;5;2.9;35815;16100
5;137;1;1;5;3.5;80435;12400
29;300;2;1;2;4.3;27368;22000
7;138;1;1;3;1.9;44896;19250
7;127;1;1;2;2.4;35488;14000
28;500;3;2;10;4.3;27596;10000
2;179;1;1;2;4.5;50002;26000
5;27;2;1;1;4;58781;10000
12;34;1;1;7;4.1;34807;22000
5;139;1;1;5;3;58112;11900
5;15;2;1;1;4.1;56524;9200
5;131;7;1;1;2.9;61464;22500
8;140;1;1;3;3.6;35551;36500
7;127;1;1;1;4.7;30843;16000
27;141;11;1;5;4.4;97805;8900
5;7;2;1;1;4.2;26691;11500
27;141;11;1;3;2.9;54064;11750
7;128;1;1;3;4.2;24065;23000
7;128;1;1;1;4.5;30801;16600
2;24;1;1;3;1.9;39766;37500
7;129;6;1;3;2.9;63205;8300
5;7;2;1;1;1.9;76900;5600
7;128;1;1;6;4.6;21368;16200
5;27;2;1;5;3.8;67321;9300
7;133;2;1;1;3;149962;3200
8;142;18;1;6;4;18736;27500
7;129;2;1;2;4.8;9059;12100
5;7;2;1;5;2.2;34564;7900
27;126;2;1;2;3.8;63184;8000
7;143;19;1;2;4.6;28687;30500
2;40;1;1;2;4.9;26640;40250
7;128;1;1;8;4.4;31566;19800
27;141;11;1;5;3.4;43287;12000
7;128;1;1;3;4.4;32802;18400
5;15;2;1;3;1.9;62053;7100
5;7;2;1;5;3;57479;9300
7;129;6;1;3;4.5;21147;11300
27;141;11;1;1;2.6;63821;10100
8;140;1;1;3;3.8;53781;35500
7;144;20;1;1;2;46441;11900
5;145;6;1;12;3.6;42947;15750
5;7;2;1;8;3;61852;10000
7;12;2;1;1;4.4;17319;14600
7;129;2;1;3;2.8;22548;10500
7;129;6;1;1;3;44674;4000
7;129;6;1;1;4.6;48952;11700
5;7;2;1;4;4.6;36315;10400
5;38;21;1;1;3.9;10482;20200
2;179;1;1;2;4.7;63550;25000
5;27;2;1;5;4.4;72362;8800
7;146;13;1;1;4.3;46865;14400
2;40;1;1;8;4.4;48374;34750
7;127;1;1;3;4.3;49575;14600
5;147;13;1;1;2.8;160525;7800
5;15;2;1;5;4.3;64722;8600
5;7;2;2;12;2.8;62380;8200
12;34;1;1;1;4.3;36331;25000
2;40;1;1;2;4.9;23642;39500
5;7;2;1;8;3;57595;9200
7;12;2;1;5;2.7;82128;9100
27;126;2;1;2;2.1;49312;7000
5;15;2;1;3;4.1;62386;9300
5;15;2;1;1;2.7;43706;8300
29;200;2;1;3;3.4;64265;8100
2;40;1;1;3;3.4;23029;54000
7;143;19;1;3;3.9;27465;28800
7;143;19;1;1;3.5;93858;19500
5;27;2;1;5;4.1;60662;9600
5;139;1;1;2;2;75665;9800
7;12;2;1;2;4.7;24208;16000
5;38;7;1;1;4.1;123543;21000
7;128;1;1;3;4;43860;21900
27;135;2;1;8;3.5;36329;20300
5;7;2;2;1;3.7;49866;9900
7;127;1;1;3;3.8;61007;10200
7;129;6;1;3;2.6;54322;7600
2;40;1;1;3;4.8;45760;36500
7;128;1;1;1;4.4;36575;22000
5;7;2;1;1;2;62216;10000
7;129;2;1;5;3.1;76000;9100
27;134;1;1;2;4;70925;11200
7;127;1;1;1;4.7;11112;17200
5;139;1;1;1;2.5;37049;10000
2;40;1;1;3;4.3;20187;42000
7;143;22;1;4;4.1;46444;25600
5;27;2;1;1;4.1;27370;12200
7;127;1;1;13;3.8;97572;9400
7;148;1;1;1;4.3;68150;27200
7;138;1;1;2;4.6;34434;24300
5;145;6;1;5;3.5;15828;17250
5;27;2;1;1;1.9;58457;7200
5;27;2;1;1;4.3;70402;9600
2;40;1;1;3;4.3;59718;33500
7;128;1;1;5;4.4;60399;23700
7;129;2;1;1;3.2;47861;6100
7;128;1;1;1;4.6;28635;20100
7;129;2;2;8;3.7;23903;8200
5;149;21;1;1;3;110071;8800
5;150;13;1;1;2.9;45664;19500
7;129;2;1;5;3.8;58045;9300
5;7;2;1;5;2;61869;8100
2;40;1;1;3;3.3;24406;39000
5;137;1;1;1;3.9;34294;14750
5;15;2;1;3;3;59156;7900
5;7;2;1;1;3;57128;10100
7;138;1;1;3;2.9;48130;25500
7;128;1;1;8;4.9;15339;21100
7;12;2;1;1;3.8;38531;14750
2;40;1;1;1;3.6;66901;30700
30;150;3;1;2;4.2;10902;154000
7;129;6;1;4;4.5;23529;11200
5;7;2;1;8;3;53040;10200
7;128;1;1;3;4.3;65548;16600
5;27;2;1;1;3;53009;10800
7;127;1;1;5;2.6;70977;11200
8;150;1;1;1;3.1;42547;45750
2;40;1;1;2;4.8;31330;39500
2;40;1;1;1;3.8;21278;41000
7;133;2;1;2;5;2308;10500
5;27;2;1;5;3;60405;8500
8;140;1;1;3;3;54683;35750
7;128;1;1;3;3.6;47548;19100
8;140;1;1;3;4.1;35958;39750
7;133;6;1;2;3.5;55855;8200
5;27;2;1;1;3.2;50616;10600
29;151;11;1;13;2;88694;8700
5;38;21;1;3;3.6;41875;20100
2;40;1;1;2;4.1;43405;37500
5;152;2;1;4;1.9;50621;5700
8;39;1;1;1;3.4;63739;17750
7;138;1;1;8;3.5;37704;18000
5;15;2;1;1;3;64637;8900
5;15;2;1;3;3.6;81991;8200
31;153;2;1;3;2.6;24390;13000
31;150;1;1;8;4.2;32923;18200
11;44;1;1;5;4.3;31776;15250
11;47;2;1;5;3.7;48562;14000
31;153;2;1;2;2.3;32212;12300
11;30;2;1;2;3.6;28514;12700
7;12;2;1;3;3.8;34063;11400
13;42;9;1;2;4.6;21486;20000
7;154;4;1;3;2.6;32535;11500
11;30;2;1;1;3.6;33191;12800
31;153;2;1;2;3.7;53340;12300
11;47;2;1;1;3.8;80181;10100
31;153;2;1;2;4.4;12218;15300
7;154;3;1;1;3.2;65201;10700
7;12;2;1;8;3.5;64035;8900
13;42;9;1;8;4.2;24485;19000
31;155;2;1;2;2.6;73995;8900
11;47;2;1;3;4.3;27949;12900
11;45;2;1;4;3.5;44190;15000
31;156;6;2;3;2;80733;7000
11;47;2;1;1;3.8;34363;11700
31;153;2;1;5;2.5;20370;12200
31;157;1;1;2;1.9;31884;13900
11;47;2;1;1;4.4;32160;16700
31;158;11;1;2;3.9;38076;17400
31;155;2;1;1;2.4;47076;10600
7;12;2;1;5;3.5;58023;10500
31;155;2;1;1;4.2;28391;13000
31;155;2;1;2;1.9;63540;4300
31;155;2;1;1;3.9;38131;12200
31;155;2;1;3;3.4;35782;12100
7;12;2;1;3;3.7;70151;9500
11;30;2;1;1;2.8;33305;9700
7;12;2;1;8;4.1;65771;12200
31;153;4;1;3;4.2;33096;13600
11;53;1;1;3;3.7;42446;13500
11;48;2;1;8;4.2;11427;16400
11;45;2;1;4;3.7;28067;19800
31;153;2;1;1;3.6;49800;13500
11;47;2;1;8;4.1;39132;12100
31;150;1;1;12;3.9;19438;18600
7;12;2;1;1;3.8;75658;9200
11;47;2;1;1;4.4;25054;17100
11;30;2;1;5;2.7;35970;10700
11;30;2;1;8;1.9;47843;8000
11;49;6;1;2;2.8;34840;8500
31;153;2;1;8;3.4;43155;12500
31;153;2;1;2;3.6;36233;14600
31;157;1;1;1;3.7;48942;22800
31;153;4;1;3;4.1;34331;17400
31;153;2;1;2;1.9;24169;13300
31;158;11;1;12;3.8;32967;20100
11;47;2;1;2;2.9;37801;10800
31;153;2;1;3;3.9;43775;13000
7;154;3;1;4;4.2;46700;11500
13;42;9;1;2;3.8;20181;19500
31;155;4;1;4;1.9;19340;11200
31;153;2;1;2;4;33248;14700
31;157;1;1;1;4.5;23288;26750
7;154;4;2;8;4.4;28781;20250
31;155;2;1;2;2.3;71774;8900
13;42;9;1;1;4.1;29331;19500
31;150;1;1;3;3.7;43096;19250
11;47;2;1;2;2;53284;8000
11;47;2;1;1;4.4;23468;17500
11;49;6;1;8;3.1;44259;7900
31;153;2;1;2;4.1;42418;12800
11;53;1;1;2;4;56451;13400
31;153;2;1;5;1.9;35287;12800
7;154;3;1;1;2.5;63964;9000
13;42;9;1;1;4.6;30475;18500
31;157;1;1;2;2.5;51201;17000
7;12;2;1;2;2.9;120695;6000
11;30;2;1;8;4.1;29954;11300
31;155;4;1;5;1.9;29149;7500
31;155;2;1;1;3.8;30961;12500
11;30;2;1;3;4.2;34411;11600
11;53;1;1;8;2;40716;10100
13;42;9;1;2;4.4;17857;20500
13;42;9;1;1;4.1;21493;20250
13;42;9;1;2;4.5;4220;22250
31;153;2;1;2;3.9;27112;13500
31;155;2;1;5;3.6;47851;11400
11;30;2;1;3;3.6;39015;11100
31;153;2;1;5;4;28633;13600
11;47;2;1;3;2.5;40057;14400
31;159;6;1;1;4.3;25162;20200
11;45;2;1;11;4.2;35967;18600
7;12;2;1;8;3.2;108714;6600
31;153;2;1;5;4.2;46058;13200
31;155;2;1;8;3.9;40568;11900
11;45;2;1;5;4.3;72006;14200
7;160;11;1;13;3;50382;12000
13;42;9;1;2;3.5;35614;17500
11;45;2;1;3;4.5;48016;16500
32;161;1;1;5;3;12101;14950
7;12;2;1;5;4.3;7521;14500
11;44;1;1;13;4.1;30188;12500
31;150;1;1;8;3.3;45307;18200
31;155;2;1;3;3.7;43894;12000
31;155;2;1;3;2.8;65969;11100
11;49;6;1;3;3.8;35087;9600
13;42;9;1;2;4.3;13827;20000
31;153;2;1;5;3.1;42990;13600
7;12;2;1;3;3.2;116173;6600
7;12;2;1;5;2.9;45663;11600
31;153;2;1;2;3.1;35404;15800
31;158;11;1;5;3.6;34467;22250
11;30;2;1;3;2.6;56172;11000
7;154;3;1;4;3.7;49668;11200
11;52;2;1;6;3.7;39542;17700
7;12;2;1;1;2.8;62752;9800
11;30;2;1;3;4.1;43939;11000
7;12;2;1;4;3.4;41949;10900
31;153;4;1;3;1.9;32635;12100
7;12;2;1;1;3.9;66109;8900
31;153;2;1;5;3.8;27263;14100
13;42;9;1;1;4.1;12083;20500
7;162;2;1;3;3.6;62827;11500
13;42;9;1;3;3.3;33958;17000
31;157;1;1;5;3.9;35374;17200
31;157;1;1;1;3.9;78603;23000
31;153;2;1;3;2.3;19873;12700
31;157;1;1;1;3.2;28883;24000
7;162;2;1;3;4.2;85743;11000
11;47;2;1;1;4.1;36369;12700
7;12;2;1;5;3.4;45384;12100
31;155;2;1;1;4.1;103097;8800
31;157;1;1;3;3.5;29120;23000
13;41;8;1;3;4.7;13076;23000
31;155;2;1;3;2.4;36218;10600
11;48;2;1;3;5;17437;17400
11;45;2;1;3;4;28016;19100
11;53;1;1;3;2;44645;12000
13;163;23;1;3;2.4;5710;26250
7;154;4;1;4;3.6;37966;12100
7;12;2;1;1;3.8;51424;11250
31;153;2;1;5;4.4;33415;13400
31;157;1;1;8;2;36828;17200
31;153;2;1;5;3.5;30866;13900
31;157;1;1;3;3.8;35501;23500
31;153;2;1;5;3.7;36706;14000
11;47;2;1;8;4;42665;11600
13;42;9;1;2;3.5;19831;18500
7;12;2;1;13;4.1;39057;10800
7;12;2;1;8;3.8;52012;9250
31;153;2;1;3;1.9;14528;14000
11;47;2;1;3;4.1;35584;12700
7;12;2;1;3;3.4;69921;9100
7;154;3;1;3;3.3;47558;11400
11;45;2;1;12;3.4;74227;13800
13;42;9;1;3;4.7;14334;20250
31;157;1;1;3;3.7;57075;24500
11;47;2;1;5;4.5;35729;16300
7;154;4;1;1;4.1;64757;13250
31;153;2;1;3;4.6;39312;15800
11;49;2;1;2;3.5;42403;8000
11;47;2;1;5;4;40065;11900
31;153;2;1;2;3.5;30908;14100
31;153;2;1;2;1.9;31377;12500
11;47;2;1;1;2.2;28181;10200
31;155;2;1;4;3.7;43570;12200
31;155;4;1;8;2.1;44061;9700
31;153;2;1;1;2.6;24318;12300
11;45;2;1;3;4.6;40341;19800
31;158;11;1;7;3.2;83734;13700
11;30;2;1;2;3.6;34230;12700
31;155;4;1;3;2.6;56731;9100
13;42;9;1;2;4.4;20345;19000
31;155;2;1;2;2.1;32403;11500
31;155;2;1;2;1.9;14958;12800
11;30;2;1;3;2;37504;7100
11;52;2;1;3;4.5;46218;18000
31;153;2;1;3;2.1;25626;13100
7;12;2;1;2;2.8;85069;7900
7;12;2;1;2;3.7;37315;12200
11;47;2;1;2;3.7;48502;11500
31;155;4;1;8;3;44830;10750
7;12;2;1;1;4.1;64948;12000
31;158;11;1;2;3.6;36351;19100
7;12;2;1;5;3.5;28992;12200
31;153;2;1;5;4.2;20187;15300
11;45;2;1;5;3.9;61835;11800
13;42;9;1;2;2.6;30100;15000
31;155;2;1;3;2.2;35823;11200
11;49;2;1;8;1.9;40558;7900
7;162;2;1;2;2.5;55817;10600
31;153;2;1;1;4.4;25954;17800
7;160;11;1;13;1.9;70018;11000
7;162;2;1;1;2;56916;10200
11;47;2;1;2;3.5;60874;10000
31;159;6;1;1;4.1;32023;18400
31;155;2;1;2;2.6;21036;11300
13;43;1;1;3;3.5;31204;26250
31;159;6;1;2;2.5;27308;16600
11;30;2;1;3;1.9;44225;10600
11;47;2;1;1;3.3;44051;15000
13;163;23;1;3;3.8;25421;27500
